Date,Open,High,Low,Close,Adj Close,Volume
2015-10-27,93.769997,95.209999,93.269997,94.730003,94.730003,2528200
2015-10-28,94.959999,96.559998,94.230003,96.540001,96.540001,2402400
2015-10-29,96.290001,96.919998,94.750000,96.360001,96.360001,2332200
2015-10-30,96.449997,96.500000,94.959999,95.080002,95.080002,2315700
2015-11-02,95.239998,95.970001,93.650002,95.699997,95.699997,1842400
2015-11-03,95.589996,96.489998,95.180000,96.400002,96.400002,2036100
2015-11-04,96.360001,96.589996,94.809998,95.300003,95.300003,2265000
2015-11-05,96.070000,96.660004,94.379997,96.029999,96.029999,2096800
2015-11-06,95.500000,97.540001,95.500000,96.010002,96.010002,1706700
2015-11-09,null,null,null,null,null,null
2015-11-10,93.320000,95.580002,92.730003,95.480003,95.480003,2093700
2015-11-11,95.440002,95.839996,92.529999,93.570000,93.570000,2931000
2015-11-12,93.180000,94.160004,92.279999,92.360001,92.360001,3065800
2015-11-13,90.889999,91.000000,86.080002,87.430000,87.430000,7257300
2015-11-16,87.410004,90.070000,86.419998,90.000000,90.000000,3573300
2015-11-17,87.489998,88.000000,84.190002,84.989998,84.989998,10443700
2015-11-18,85.239998,87.339996,84.650002,87.300003,87.300003,4230600
2015-11-19,87.750000,89.650002,87.500000,89.250000,89.250000,3894700
2015-11-20,90.489998,92.989998,90.489998,92.010002,92.010002,5281000
2015-11-23,92.010002,93.019997,91.940002,92.160004,92.160004,3436600
2015-11-24,91.300003,92.919998,91.150002,92.080002,92.080002,2049900
2015-11-25,92.000000,92.589996,91.750000,92.099998,92.099998,1547400
2015-11-27,92.519997,92.709999,89.320000,89.680000,89.680000,1820900
2015-11-30,87.580002,87.650002,85.779999,86.220001,86.220001,4866400
2015-12-01,86.790001,87.690002,86.110001,87.180000,87.180000,2761100
2015-12-02,87.000000,88.559998,86.410004,86.919998,86.919998,2491400
2015-12-03,87.010002,87.500000,83.110001,84.150002,84.150002,3478100
2015-12-04,84.500000,87.470001,84.000000,87.309998,87.309998,3859200
2015-12-07,87.000000,87.440002,85.779999,86.580002,86.580002,2206700
2015-12-08,86.029999,87.989998,85.709999,87.230003,87.230003,2950900
2015-12-09,86.480003,88.269997,85.320000,86.309998,86.309998,2446700
2015-12-10,86.260002,86.760002,85.480003,85.669998,85.669998,1731600
2015-12-11,84.860001,84.919998,82.120003,82.559998,82.559998,4119500
2015-12-14,null,null,null,null,null,null
2015-12-15,83.830002,83.839996,81.370003,81.519997,81.519997,3157000
2015-12-16,81.900002,83.199997,81.029999,83.110001,83.110001,3283200
2015-12-17,83.620003,83.800003,81.230003,81.269997,81.269997,2515700
2015-12-18,81.699997,82.720001,80.839996,80.870003,80.870003,3532400
2015-12-21,81.309998,82.000000,80.410004,80.970001,80.970001,1769400
2015-12-22,81.050003,81.349998,77.779999,80.370003,80.370003,5797200
2015-12-23,82.910004,83.000000,80.889999,81.989998,81.989998,4117800
2015-12-24,81.709999,81.910004,79.910004,81.199997,81.199997,1580400
2015-12-28,81.099998,81.919998,80.110001,81.220001,81.220001,1659600
2015-12-29,81.680000,82.750000,81.389999,82.250000,82.250000,1847300
2015-12-30,82.190002,82.449997,80.639999,80.959999,80.959999,1620900
2015-12-31,80.889999,81.720001,80.470001,80.610001,80.610001,2354500
2016-01-04,79.669998,80.120003,78.449997,79.660004,79.660004,4617200
2016-01-05,81.230003,81.500000,79.550003,80.150002,80.150002,2605100
2016-01-06,78.750000,80.860001,78.629997,79.870003,79.870003,3125200
2016-01-07,78.610001,80.629997,77.529999,78.000000,78.000000,3662000
2016-01-08,78.349998,78.480003,74.779999,75.000000,75.000000,4804100
2016-01-11,70.870003,72.410004,67.430000,69.959999,69.959999,14518200
2016-01-12,71.050003,72.190002,69.320000,72.150002,72.150002,5829000
2016-01-13,71.870003,73.900002,71.690002,71.870003,71.870003,5153000
2016-01-14,71.750000,71.849998,67.849998,69.870003,69.870003,5516800
2016-01-15,67.760002,69.410004,67.250000,68.629997,68.629997,3887100
2016-01-19,69.050003,69.559998,66.430000,67.110001,67.110001,3986300
2016-01-20,65.800003,68.300003,63.230000,67.339996,67.339996,6755300
2016-01-21,67.599998,70.339996,67.000000,69.059998,69.059998,5029400
2016-01-22,69.839996,70.809998,69.120003,70.790001,70.790001,3316700
2016-01-25,70.750000,70.800003,67.790001,68.160004,68.160004,3558500
2016-01-26,67.110001,68.400002,66.089996,67.360001,67.360001,4730100
2016-01-27,67.000000,70.260002,66.930000,68.580002,68.580002,5782100
2016-01-28,79.489998,84.779999,78.110001,84.070000,84.070000,18569300
2016-01-29,83.879997,86.290001,82.010002,85.430000,85.430000,8236800
2016-02-01,84.800003,85.580002,83.309998,85.129997,85.129997,4930300
2016-02-02,84.919998,85.949997,80.919998,82.000000,82.000000,4095900
2016-02-03,82.169998,82.790001,78.330002,80.900002,80.900002,4284600
2016-02-04,80.089996,80.680000,78.629997,80.540001,80.540001,3015400
2016-02-05,80.480003,80.889999,74.440002,77.330002,77.330002,7018800
2016-02-08,null,null,null,null,null,null
2016-02-09,71.449997,75.300003,70.839996,72.349998,72.349998,5359100
2016-02-10,73.010002,76.050003,71.800003,74.480003,74.480003,4766800
2016-02-11,73.070000,73.980003,71.190002,72.580002,72.580002,3899400
2016-02-12,73.860001,76.360001,72.839996,76.290001,76.290001,3764500
2016-02-16,77.989998,81.220001,77.680000,79.940002,79.940002,6089500
2016-02-17,80.949997,83.629997,80.239998,82.970001,82.970001,4225100
2016-02-18,83.160004,83.449997,80.720001,81.029999,81.029999,2889800
2016-02-19,80.500000,81.870003,79.040001,80.639999,80.639999,3010600
2016-02-22,null,null,null,null,null,null
2016-02-23,81.070000,81.980003,79.830002,80.500000,80.500000,2340700
2016-02-24,79.849998,82.599998,79.190002,82.150002,82.150002,2416300
2016-02-25,82.410004,83.699997,81.870003,83.059998,83.059998,2250800
2016-02-26,83.199997,84.930000,82.500000,83.809998,83.809998,2803900
2016-02-29,84.199997,84.440002,83.139999,83.690002,83.690002,2057200
2016-03-01,84.139999,85.790001,83.849998,84.930000,84.930000,2468100
2016-03-02,84.830002,84.970001,83.070000,83.930000,83.930000,1895100
2016-03-03,82.400002,83.470001,80.570000,83.089996,83.089996,3229300
2016-03-04,83.349998,84.639999,82.250000,84.000000,84.000000,2875800
2016-03-07,83.559998,84.489998,82.379997,83.199997,83.199997,2642100
2016-03-08,82.440002,82.919998,81.190002,81.300003,81.300003,2334600
2016-03-09,81.589996,81.680000,78.900002,80.300003,80.300003,3291000
2016-03-10,81.150002,82.190002,80.040001,81.029999,81.029999,1894900
2016-03-11,81.559998,82.779999,80.370003,82.449997,82.449997,1727400
2016-03-14,82.389999,82.400002,81.400002,81.809998,81.809998,2269900
2016-03-15,81.690002,81.800003,80.370003,81.019997,81.019997,1880600
2016-03-16,80.879997,81.180000,79.860001,81.000000,81.000000,1795700
2016-03-17,81.139999,83.989998,80.970001,83.139999,83.139999,3495100
2016-03-18,83.540001,85.300003,83.419998,84.279999,84.279999,3595500
2016-03-21,null,null,null,null,null,null
2016-03-22,85.360001,85.360001,83.540001,84.449997,84.449997,2245100
2016-03-23,41.406429,41.406429,41.207836,41.207836,41.207836,200
2016-03-24,40.582272,40.582272,40.582272,40.582272,40.582272,100
2016-03-28,40.582272,40.582272,40.582272,40.582272,40.582272,0
2016-03-29,40.582272,40.582272,40.582272,40.582272,40.582272,0
2016-03-30,41.187977,41.704315,41.178047,41.704315,41.704315,3700
2016-03-31,41.704315,41.704315,41.426289,41.426289,41.426289,600
2016-04-01,40.800724,40.800724,40.800724,40.800724,40.800724,100
2016-04-04,40.800724,40.800724,40.800724,40.800724,40.800724,0
2016-04-05,40.214878,41.734104,40.214878,40.800724,40.800724,1700
2016-04-06,41.058891,41.704315,40.770935,41.505726,41.505726,700
2016-04-07,41.793682,41.833401,41.267414,41.267414,41.267414,5900
2016-04-08,41.317062,44.037773,41.030098,43.710094,43.710094,3602300
2016-04-11,43.332771,43.372490,40.681568,41.168118,41.168118,4094900
2016-04-12,40.959595,41.366711,39.946777,41.356781,41.356781,3613200
2016-04-13,41.039032,42.379528,41.039032,41.505726,41.505726,4424600
